							
"Inst
 Code"	Institute Name	Place	"Dist 
Code"	College Type	Year of Estab	Branch Name	"BC_D 
GIRLS"
BRIG	BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS	HAYATHNAGAR	RR	PVT	2009	COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)	156852
BRIG	BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS	HAYATHNAGAR	RR	PVT	2009	COMPUTER SCIENCE AND ENGINEERING	146737
BRIG	BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS	HAYATHNAGAR	RR	PVT	2009	COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	156852
BRIG	BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS	HAYATHNAGAR	RR	PVT	2009	ELECTRONICS AND COMMUNICATION ENGINEERING	135545
BRIG	BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS	HAYATHNAGAR	RR	PVT	2009	ELECTRICAL AND ELECTRONICS ENGINEERING	156852
BRIG	BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS	HAYATHNAGAR	RR	PVT	2009	MECHANICAL ENGINEERING	156852
BRIL	BRILLIANT INSTT OF ENGG AND TECHNOLOGY	HAYATHNAGAR	RR	PVT	2008	ARTIFICIAL INTELLIGENCE AND DATA SCIENCE	156852
BRIL	BRILLIANT INSTT OF ENGG AND TECHNOLOGY	HAYATHNAGAR	RR	PVT	2008	CIVIL ENGINEERING	156852
BRIL	BRILLIANT INSTT OF ENGG AND TECHNOLOGY	HAYATHNAGAR	RR	PVT	2008	COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY)	143106
BRIL	BRILLIANT INSTT OF ENGG AND TECHNOLOGY	HAYATHNAGAR	RR	PVT	2008	COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)	156852
BRIL	BRILLIANT INSTT OF ENGG AND TECHNOLOGY	HAYATHNAGAR	RR	PVT	2008	COMPUTER SCIENCE AND ENGINEERING	143272
BRIL	BRILLIANT INSTT OF ENGG AND TECHNOLOGY	HAYATHNAGAR	RR	PVT	2008	COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	131547
BRIL	BRILLIANT INSTT OF ENGG AND TECHNOLOGY	HAYATHNAGAR	RR	PVT	2008	COMPUTER ENGINEERING(SOFTWARE ENGINEERING)	156852
BRIL	BRILLIANT INSTT OF ENGG AND TECHNOLOGY	HAYATHNAGAR	RR	PVT	2008	ELECTRONICS AND COMMUNICATION ENGINEERING	156852
BRIL	BRILLIANT INSTT OF ENGG AND TECHNOLOGY	HAYATHNAGAR	RR	PVT	2008	ELECTRICAL AND ELECTRONICS ENGINEERING	156852
BSKR	BHASKAR ENGINEERING COLLEGE	YENKAPALLY	RR	PVT	2007	ARTIFICIAL INTELLIGENCE AND DATA SCIENCE	139267
BSKR	BHASKAR ENGINEERING COLLEGE	YENKAPALLY	RR	PVT	2007	COMPUTER SCIENCE AND ENGINEERING	133855
BSKR	BHASKAR ENGINEERING COLLEGE	YENKAPALLY	RR	PVT	2007	COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	156852
BSKR	BHASKAR ENGINEERING COLLEGE	YENKAPALLY	RR	PVT	2007	ELECTRONICS AND COMMUNICATION ENGINEERING	156852
BSKR	BHASKAR ENGINEERING COLLEGE	YENKAPALLY	RR	PVT	2007	INFORMATION TECHNOLOGY	114288
BVRI	B V RAJU INSTITUTE OF TECHNOLOGY	NARSAPUR	MED	PVT	1997	ARTIFICIAL INTELLIGENCE AND DATA SCIENCE	20902
BVRI	B V RAJU INSTITUTE OF TECHNOLOGY	NARSAPUR	MED	PVT	1997	BIO-MEDICAL ENGINEERING	145059
BVRI	B V RAJU INSTITUTE OF TECHNOLOGY	NARSAPUR	MED	PVT	1997	CHEMICAL ENGINEERING	130204
BVRI	B V RAJU INSTITUTE OF TECHNOLOGY	NARSAPUR	MED	PVT	1997	CIVIL ENGINEERING	130827
BVRI	B V RAJU INSTITUTE OF TECHNOLOGY	NARSAPUR	MED	PVT	1997	COMPUTER SCIENCE AND BUSINESS SYSTEM	23330
BVRI	B V RAJU INSTITUTE OF TECHNOLOGY	NARSAPUR	MED	PVT	1997	COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)	18088
BVRI	B V RAJU INSTITUTE OF TECHNOLOGY	NARSAPUR	MED	PVT	1997	COMPUTER SCIENCE AND ENGINEERING	13431
BVRI	B V RAJU INSTITUTE OF TECHNOLOGY	NARSAPUR	MED	PVT	1997	COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	17875
BVRI	B V RAJU INSTITUTE OF TECHNOLOGY	NARSAPUR	MED	PVT	1997	ELECTRONICS AND COMMUNICATION ENGINEERING	31043
BVRI	B V RAJU INSTITUTE OF TECHNOLOGY	NARSAPUR	MED	PVT	1997	ELECTRICAL AND ELECTRONICS ENGINEERING	79600
BVRI	B V RAJU INSTITUTE OF TECHNOLOGY	NARSAPUR	MED	PVT	1997	INFORMATION TECHNOLOGY	21499
BVRI	B V RAJU INSTITUTE OF TECHNOLOGY	NARSAPUR	MED	PVT	1997	MECHANICAL ENGINEERING	136308
BVRI	B V RAJU INSTITUTE OF TECHNOLOGY	NARSAPUR	MED	PVT	1997	PHARMACEUTICAL ENGINEERING	156852
BVRW	BVRIT COLLEGE OF ENGINEERING FOR WOMEN (AUTONOMOUS)	BACHUPALLY	MDL	PVT	2012	COMPUTER SCIENCE AND ENGINEERING	15021
BVRW	BVRIT COLLEGE OF ENGINEERING FOR WOMEN (AUTONOMOUS)	BACHUPALLY	MDL	PVT	2012	COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	15251
BVRW	BVRIT COLLEGE OF ENGINEERING FOR WOMEN (AUTONOMOUS)	BACHUPALLY	MDL	PVT	2012	ELECTRONICS AND COMMUNICATION ENGINEERING	29402
BVRW	BVRIT COLLEGE OF ENGINEERING FOR WOMEN (AUTONOMOUS)	BACHUPALLY	MDL	PVT	2012	ELECTRICAL AND ELECTRONICS ENGINEERING	88188
BVRW	BVRIT COLLEGE OF ENGINEERING FOR WOMEN (AUTONOMOUS)	BACHUPALLY	MDL	PVT	2012	INFORMATION TECHNOLOGY	20709
CASR	COLLEGE OF AGRICULTURAL ENGG	SANGAREDDY	SRD	UNIV	2011	AGRICULTURAL ENGINEERING	149088
CBIT	CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY	GANDIPET	RR	PVT	1979	ARTIFICIAL INTELLIGENCE AND DATA SCIENCE	8059
CBIT	CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY	GANDIPET	RR	PVT	1979	ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING	6674
CBIT	CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY	GANDIPET	RR	PVT	1979	BIO-TECHNOLOGY	68796
CBIT	CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY	GANDIPET	RR	PVT	1979	CHEMICAL ENGINEERING	105750
CBIT	CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY	GANDIPET	RR	PVT	1979	CSE (IoT AND CYBER SECURITY INCLUDING BLOCK CHAIN TECHNOLOGY)	8549
CBIT	CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY	GANDIPET	RR	PVT	1979	CIVIL ENGINEERING	58875
CBIT	CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY	GANDIPET	RR	PVT	1979	COMPUTER SCIENCE AND ENGINEERING	3448
CBIT	CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY	GANDIPET	RR	PVT	1979	COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	4716
CBIT	CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY	GANDIPET	RR	PVT	1979	ELECTRONICS AND COMMUNICATION ENGINEERING	14812
CBIT	CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY	GANDIPET	RR	PVT	1979	ELECTRICAL AND ELECTRONICS ENGINEERING	34577
CBIT	CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY	GANDIPET	RR	PVT	1979	INFORMATION TECHNOLOGY	6328
CBIT	CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY	GANDIPET	RR	PVT	1979	MECHANICAL ENGINEERING	66020
CDTK	COLLEGE OF DAIRY TECHNOLOGY	KAMAREDDY	KMR	UNIV	2007	DAIRYING	156852
CFSR	COLLEGE OF FOOD SCIENCE AND TECHNOLOGY	RUDRUR	NZB	GOV	2015	FOOD TECHNOLOGY	143997
CHET	SRI CHAITANYA TECHNICAL CAMPUS	IBRAHIMPATAN	RR	PVT	2009	CIVIL ENGINEERING	156852
CHET	SRI CHAITANYA TECHNICAL CAMPUS	IBRAHIMPATAN	RR	PVT	2009	COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)	146442
CHET	SRI CHAITANYA TECHNICAL CAMPUS	IBRAHIMPATAN	RR	PVT	2009	COMPUTER SCIENCE AND ENGINEERING	144549
CHET	SRI CHAITANYA TECHNICAL CAMPUS	IBRAHIMPATAN	RR	PVT	2009	COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	139801
CHET	SRI CHAITANYA TECHNICAL CAMPUS	IBRAHIMPATAN	RR	PVT	2009	ELECTRONICS AND COMMUNICATION ENGINEERING	156852
CHET	SRI CHAITANYA TECHNICAL CAMPUS	IBRAHIMPATAN	RR	PVT	2009	MECHANICAL ENGINEERING	156852
CHTN	SREE CHAITANYA COLLEGE OF ENGINEERING	KARIMNAGAR	KRM	PVT	2004	CIVIL ENGINEERING	102497
CHTN	SREE CHAITANYA COLLEGE OF ENGINEERING	KARIMNAGAR	KRM	PVT	2004	COMPUTER SCIENCE AND ENGINEERING	108247
CHTN	SREE CHAITANYA COLLEGE OF ENGINEERING	KARIMNAGAR	KRM	PVT	2004	COMPUTER SCIENCE & DESIGN	135693
CHTN	SREE CHAITANYA COLLEGE OF ENGINEERING	KARIMNAGAR	KRM	PVT	2004	ELECTRONICS AND COMMUNICATION ENGINEERING	151482
CHTN	SREE CHAITANYA COLLEGE OF ENGINEERING	KARIMNAGAR	KRM	PVT	2004	ELECTRICAL AND ELECTRONICS ENGINEERING	156852
CHTN	SREE CHAITANYA COLLEGE OF ENGINEERING	KARIMNAGAR	KRM	PVT	2004	MECHANICAL ENGINEERING	156852
CHTS	SREE CHAITANYA INST OF TECHNOLOGY SCIENCES	KARIMNAGAR	KRM	PVT	2008	ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING	140397
CHTS	SREE CHAITANYA INST OF TECHNOLOGY SCIENCES	KARIMNAGAR	KRM	PVT	2008	COMPUTER SCIENCE AND ENGINEERING	146380
